id;title;provincie;dna;CU,
id;title;provincie;dna;2012-0,
001674;Roosendaal;Noord-Brabant;756837;0.7,
001640;Leudal;Limburg;356463;0.4,
001641;Maasgouw;Limburg;358454;0.5,
001651;Eemsmond;Groningen;326312;9.4,
001652;Gemert-Bakel;Noord-Brabant;444454;0.3,
001655;Halderberge;Noord-Brabant;456654;0.6,
001658;Heeze-Leende;Noord-Brabant;487465;0.4,
001676;Schouwen-Duiveland;Zeeland;358464;4.2,
001680;Aa en Hunze;Drenthe;357353;1.4,
001681;Borger-Odoorn;Drenthe;337343;3.6,
001684;Cuijk;Noord-Brabant;445745;0.3,
001685;Landerd;Noord-Brabant;344373;0.3,
001690;De Wolden;Drenthe;346373;3.3,
001695;Noord-Beveland;Zeeland;258463;2.8,
001696;Wijdemeren;Noord-Holland;497574;1.8,
001699;Noordenveld;Drenthe;457343;3.4,
001700;Twenterand;Overijssel;423354;11.3,
001701;Westerveld;Drenthe;258351;2.3,
001702;Sint Anthonis;Noord-Brabant;345383;0.2,
001705;Lingewaard;Gelderland;554465;0.6,
001706;Cranendonck;Noord-Brabant;456564;0.3,
001708;Steenwijkerland;Overijssel;435443;6.6,
001709;Moerdijk;Noord-Brabant;465463;2.7,
001711;Echt-Susteren;Limburg;448544;0.5,
001714;Sluis;Zeeland;349564;1.5,
001719;Drimmelen;Noord-Brabant;466374;0.6,
001721;Bernheze;Noord-Brabant;454365;0.3,
001722;Ferwerderadiel;Friesland;224343;6.6,
001723;Alphen-Chaam;Noord-Brabant;366473;0.3,
001724;Bergeijk;Noord-Brabant;355463;0.4,
001728;Bladel;Noord-Brabant;455474;0.3,
001729;Gulpen-Wittem;Limburg;349464;0.8,
001730;Tynaarlo;Drenthe;366364;3.5,
001731;Midden-Drenthe;Drenthe;346353;3.8,
001734;Overbetuwe;Gelderland;453464;2.8,
001735;Hof van Twente;Overijssel;446464;1.2,
001740;Neder-Betuwe;Gelderland;331364;4.5,
001742;Rijssen-Holten;Overijssel;532465;12.7,
001771;Geldrop-Mierlo;Noord-Brabant;665546;0.8,
001773;Olst-Wijhe;Overijssel;345463;1.7,
001774;Dinkelland;Overijssel;334373;0.6,
001783;Westland;Zuid-Holland;654565;3,
001842;Midden-Delfland;Zuid-Holland;673477;3.1,
001859;Berkelland;Gelderland;436363;1.2,
001876;Bronckhorst;Gelderland;347373;1.8,
001883;Sittard-Geleen;Limburg;647616;0.5,
001884;Kaag en Braassem;Zuid-Holland;464474;1.1,
001891;Dantumadiel;Friesland;315324;10.6,
001892;Zuidplas;Zuid-Holland;673665;6,
001894;Peel en Maas;Limburg;445463;0.3,
001895;Oldambt;Groningen;527415;3.6,
001896;Zwartewaterland;Overijssel;431364;17.1,
001900;Súdwest-Fryslân;Friesland;535424;3.1,
001901;Bodegraven-Reeuwijk;Zuid-Holland;574575;6.3,
001903;Eijsden-Margraten;Limburg;367474;0.4,
001904;Stichtse Vecht;Utrecht;675665;2.8,
001908;Menameradiel;Friesland;335363;3,
001911;Hollands Kroon;Noord-Holland;344461;1.7,
001916;Leidschendam-Voorburg;Zuid-Holland;996939;1.6,
001926;Pijnacker-Nootdorp;Zuid-Holland;681775;2.5,
001955;Montferland;Gelderland;436445;0.5,
001987;Menterwolde;Groningen;335324;3.4,
001924;Goeree-Overflakkee;Zuid-Holland;455374;,
001927;Molenwaard;Zuid-Holland;361373;,
