id;title;provincie;dna;SP,
id;title;provincie;dna;2012-0,
000765;Pekela;Groningen;416414;17.7,
000766;Dongen;Noord-Brabant;655565;12.8,
000770;Eersel;Noord-Brabant;466474;12.3,
000772;Eindhoven;Noord-Brabant;954929;14.3,
000777;Etten-Leur;Noord-Brabant;754656;12,
000779;Geertruidenberg;Noord-Brabant;555455;12.8,
000784;Gilze en Rijen;Noord-Brabant;555654;12.4,
000785;Goirle;Noord-Brabant;676466;13.6,
000786;Grave;Noord-Brabant;455565;18,
000788;Haaren;Noord-Brabant;365374;11.5,
000794;Helmond;Noord-Brabant;743817;16.6,
000796;'s-Hertogenbosch;Noord-Brabant;964728;12.9,
000797;Heusden;Noord-Brabant;555555;12.2,
000798;Hilvarenbeek;Noord-Brabant;465374;12.1,
000809;Loon op Zand;Noord-Brabant;556465;11.7,
000815;Mill en Sint Hubert;Noord-Brabant;335363;22.3,
000820;Nuenen, Gerwen en Nederwetten;Noord-Brabant;587445;11.6
000823;Oirschot;Noord-Brabant;465373;14.5,
000824;Oisterwijk;Noord-Brabant;576466;11.1,
000826;Oosterhout;Noord-Brabant;766747;11,
000828;Oss;Noord-Brabant;655747;20.1,
000840;Rucphen;Noord-Brabant;448454;11,
000844;Schijndel;Noord-Brabant;555465;16.7,
000845;Sint-Michielsgestel;Noord-Brabant;465374;13.2,
000846;Sint-Oedenrode;Noord-Brabant;455374;14.4,
000847;Someren;Noord-Brabant;435454;13.3,
000848;Son en Breugel;Noord-Brabant;485465;10.8,
000851;Steenbergen;Noord-Brabant;456464;10.9,
000852;Waterland;Noord-Holland;486474;6.9,
000855;Tilburg;Noord-Brabant;943918;14.1,
000856;Uden;Noord-Brabant;655646;16.1,
000858;Valkenswaard;Noord-Brabant;657556;14.5,
000860;Veghel;Noord-Brabant;554765;13.8,
000861;Veldhoven;Noord-Brabant;766567;14,
000865;Vught;Noord-Brabant;685566;12.7,
000866;Waalre;Noord-Brabant;496565;10.1,
000867;Waalwijk;Noord-Brabant;655656;11.7,
000870;Werkendam;Noord-Brabant;454374;7.2,
000873;Woensdrecht;Noord-Brabant;457565;11.1,
000874;Woudrichem;Noord-Brabant;354374;7.6,
000879;Zundert;Noord-Brabant;346573;11.2,
000880;Wormerland;Noord-Holland;665555;10.9,
000881;Onderbanken;Limburg;337534;16.4,
000882;Landgraaf;Limburg;638516;16.9,
000888;Beek;Limburg;558545;12.4,
000889;Beesel;Limburg;436545;12.8,
000893;Bergen (L.);Limburg;336453;20.9,
000899;Brunssum;Limburg;728617;17,
000907;Gennep;Limburg;446555;24.7,
000917;Heerlen;Limburg;827717;21.2,
000928;Kerkrade;Limburg;729716;16.9,
000935;Maastricht;Limburg;936819;12.6,
000938;Meerssen;Limburg;468455;12.8,
000944;Mook en Middelaar;Limburg;387464;14.5,
000946;Nederweert;Limburg;446474;11.7,
000951;Nuth;Limburg;358444;13,
000957;Roermond;Limburg;746917;11.9,
000962;Schinnen;Limburg;358445;12.6,
