id;title;provincie;dna;GroenLinks,
id;title;provincie;dna;2012-0,
001621;Lansingerland;Zuid-Holland;681676;1.5,
001525;Teylingen;Zuid-Holland;684576;1.9,
001581;Utrechtse Heuvelrug;Utrecht;497565;3.4,
001659;Laarbeek;Noord-Brabant;445365;1.2,
001663;De Marne;Groningen;227332;3,
001667;Reusel-De Mierden;Noord-Brabant;454471;1,
001669;Roerdalen;Limburg;348454;1.6,
001671;Maasdonk;Noord-Brabant;344374;1.3,
001672;Rijnwoude;Zuid-Holland;464475;1.5,
001674;Roosendaal;Noord-Brabant;756837;1.4,
001640;Leudal;Limburg;356463;1.8,
001641;Maasgouw;Limburg;358454;1.5,
001651;Eemsmond;Groningen;326312;2,
001652;Gemert-Bakel;Noord-Brabant;444454;1.2,
001655;Halderberge;Noord-Brabant;456654;1.1,
001658;Heeze-Leende;Noord-Brabant;487465;1.8,
001676;Schouwen-Duiveland;Zeeland;358464;1.3,
001680;Aa en Hunze;Drenthe;357353;2.1,
001681;Borger-Odoorn;Drenthe;337343;1.6,
001684;Cuijk;Noord-Brabant;445745;1.6,
001685;Landerd;Noord-Brabant;344373;1.2,
001690;De Wolden;Drenthe;346373;1.8,
001695;Noord-Beveland;Zeeland;258463;1.3,
001696;Wijdemeren;Noord-Holland;497574;1.6,
001699;Noordenveld;Drenthe;457343;2.5,
001700;Twenterand;Overijssel;423354;0.8,
001701;Westerveld;Drenthe;258351;2.6,
001702;Sint Anthonis;Noord-Brabant;345383;1.4,
001705;Lingewaard;Gelderland;554465;1.7,
001706;Cranendonck;Noord-Brabant;456564;1.1,
001708;Steenwijkerland;Overijssel;435443;1.5,
001709;Moerdijk;Noord-Brabant;465463;1.3,
001711;Echt-Susteren;Limburg;448544;1.5,
001714;Sluis;Zeeland;349564;1.5,
001719;Drimmelen;Noord-Brabant;466374;1.5,
001721;Bernheze;Noord-Brabant;454365;1.3,
001722;Ferwerderadiel;Friesland;224343;1.3,
001723;Alphen-Chaam;Noord-Brabant;366473;1.4,
001724;Bergeijk;Noord-Brabant;355463;1.1,
001728;Bladel;Noord-Brabant;455474;1.3,
001729;Gulpen-Wittem;Limburg;349464;1.9,
001730;Tynaarlo;Drenthe;366364;2.9,
001731;Midden-Drenthe;Drenthe;346353;1.8,
001734;Overbetuwe;Gelderland;453464;2.1,
001735;Hof van Twente;Overijssel;446464;1.3,
001740;Neder-Betuwe;Gelderland;331364;0.6,
001742;Rijssen-Holten;Overijssel;532465;0.6,
001771;Geldrop-Mierlo;Noord-Brabant;665546;2.1,
001773;Olst-Wijhe;Overijssel;345463;2.3,
001774;Dinkelland;Overijssel;334373;0.8,
001783;Westland;Zuid-Holland;654565;1,
001842;Midden-Delfland;Zuid-Holland;673477;2,
001859;Berkelland;Gelderland;436363;1.4,
001876;Bronckhorst;Gelderland;347373;1.6,
001883;Sittard-Geleen;Limburg;647616;2,
001884;Kaag en Braassem;Zuid-Holland;464474;1.8,
001891;Dantumadiel;Friesland;315324;0.8,
001892;Zuidplas;Zuid-Holland;673665;1.2,
001894;Peel en Maas;Limburg;445463;1.5,
001895;Oldambt;Groningen;527415;1.2,
001896;Zwartewaterland;Overijssel;431364;0.6,
001900;Súdwest-Fryslân;Friesland;535424;1.7,
001901;Bodegraven-Reeuwijk;Zuid-Holland;574575;1.7,
001903;Eijsden-Margraten;Limburg;367474;2.3,
001904;Stichtse Vecht;Utrecht;675665;2.3,
001908;Menameradiel;Friesland;335363;1.7,
001911;Hollands Kroon;Noord-Holland;344461;1.5,
001916;Leidschendam-Voorburg;Zuid-Holland;996939;2.2,
001926;Pijnacker-Nootdorp;Zuid-Holland;681775;2.2,
001955;Montferland;Gelderland;436445;1.1,
001987;Menterwolde;Groningen;335324;1.6,
001924;Goeree-Overflakkee;Zuid-Holland;455374;,
001927;Molenwaard;Zuid-Holland;361373;,
