id;title;provincie;dna;SGP,
id;title;provincie;dna;2012-0,
001659;Laarbeek;Noord-Brabant;445365;0,
001663;De Marne;Groningen;227332;1.3,
001667;Reusel-De Mierden;Noord-Brabant;454471;0,
001669;Roerdalen;Limburg;348454;0.1,
001671;Maasdonk;Noord-Brabant;344374;0,
001672;Rijnwoude;Zuid-Holland;464475;6.1,
001674;Roosendaal;Noord-Brabant;756837;0.1,
001640;Leudal;Limburg;356463;0.1,
001641;Maasgouw;Limburg;358454;0.1,
001651;Eemsmond;Groningen;326312;1.4,
001652;Gemert-Bakel;Noord-Brabant;444454;0.1,
001655;Halderberge;Noord-Brabant;456654;0.2,
001658;Heeze-Leende;Noord-Brabant;487465;0,
001676;Schouwen-Duiveland;Zeeland;358464;9,
001680;Aa en Hunze;Drenthe;357353;0.3,
001681;Borger-Odoorn;Drenthe;337343;0.6,
001684;Cuijk;Noord-Brabant;445745;0,
001685;Landerd;Noord-Brabant;344373;0,
001690;De Wolden;Drenthe;346373;0.8,
001695;Noord-Beveland;Zeeland;258463;4.5,
001696;Wijdemeren;Noord-Holland;497574;0.7,
001699;Noordenveld;Drenthe;457343;0.4,
001700;Twenterand;Overijssel;423354;4.2,
001701;Westerveld;Drenthe;258351;0.4,
001702;Sint Anthonis;Noord-Brabant;345383;0.1,
001705;Lingewaard;Gelderland;554465;0.1,
001706;Cranendonck;Noord-Brabant;456564;0.1,
001708;Steenwijkerland;Overijssel;435443;1.1,
001709;Moerdijk;Noord-Brabant;465463;0.5,
001711;Echt-Susteren;Limburg;448544;0.1,
001714;Sluis;Zeeland;349564;0.8,
001719;Drimmelen;Noord-Brabant;466374;0.2,
001721;Bernheze;Noord-Brabant;454365;0.1,
001722;Ferwerderadiel;Friesland;224343;0.6,
001723;Alphen-Chaam;Noord-Brabant;366473;0.1,
001724;Bergeijk;Noord-Brabant;355463;0.1,
001728;Bladel;Noord-Brabant;455474;0,
001729;Gulpen-Wittem;Limburg;349464;0.3,
001730;Tynaarlo;Drenthe;366364;0.3,
001731;Midden-Drenthe;Drenthe;346353;0.8,
001734;Overbetuwe;Gelderland;453464;2.1,
001735;Hof van Twente;Overijssel;446464;0.3,
001740;Neder-Betuwe;Gelderland;331364;29.9,
