id;title;provincie;dna;PVV,
id;title;provincie;dna;2012-0,
001659;Laarbeek;Noord-Brabant;445365;11.6,
001663;De Marne;Groningen;227332;7.3,
001667;Reusel-De Mierden;Noord-Brabant;454471;8.9,
001669;Roerdalen;Limburg;348454;22.4,
001671;Maasdonk;Noord-Brabant;344374;12.1,
001672;Rijnwoude;Zuid-Holland;464475;8.6,
001674;Roosendaal;Noord-Brabant;756837;14.3,
001640;Leudal;Limburg;356463;15.8,
001641;Maasgouw;Limburg;358454;18.2,
001651;Eemsmond;Groningen;326312;6.2,
001652;Gemert-Bakel;Noord-Brabant;444454;11.4,
001655;Halderberge;Noord-Brabant;456654;14.9,
001658;Heeze-Leende;Noord-Brabant;487465;7.6,
001676;Schouwen-Duiveland;Zeeland;358464;8.9,
001680;Aa en Hunze;Drenthe;357353;6,
001681;Borger-Odoorn;Drenthe;337343;8.7,
001684;Cuijk;Noord-Brabant;445745;8.9,
001685;Landerd;Noord-Brabant;344373;9.4,
001690;De Wolden;Drenthe;346373;7,
001695;Noord-Beveland;Zeeland;258463;10.3,
001696;Wijdemeren;Noord-Holland;497574;7.8,
001699;Noordenveld;Drenthe;457343;7,
001700;Twenterand;Overijssel;423354;10.5,
001701;Westerveld;Drenthe;258351;6.5,
001702;Sint Anthonis;Noord-Brabant;345383;6.4,
001705;Lingewaard;Gelderland;554465;9.6,
001706;Cranendonck;Noord-Brabant;456564;13.2,
001708;Steenwijkerland;Overijssel;435443;8.1,
001709;Moerdijk;Noord-Brabant;465463;12.6,
001711;Echt-Susteren;Limburg;448544;22,
001714;Sluis;Zeeland;349564;11.4,
001719;Drimmelen;Noord-Brabant;466374;12,
001721;Bernheze;Noord-Brabant;454365;8.5,
001722;Ferwerderadiel;Friesland;224343;7.6,
001723;Alphen-Chaam;Noord-Brabant;366473;8.3,
001724;Bergeijk;Noord-Brabant;355463;11,
001728;Bladel;Noord-Brabant;455474;10.3,
001729;Gulpen-Wittem;Limburg;349464;15.5,
001730;Tynaarlo;Drenthe;366364;5.5,
001731;Midden-Drenthe;Drenthe;346353;7,
001734;Overbetuwe;Gelderland;453464;8.8,
001735;Hof van Twente;Overijssel;446464;7.3,
001740;Neder-Betuwe;Gelderland;331364;9.9,
001742;Rijssen-Holten;Overijssel;532465;6.4,
001771;Geldrop-Mierlo;Noord-Brabant;665546;11.7,
001773;Olst-Wijhe;Overijssel;345463;6.3,
001774;Dinkelland;Overijssel;334373;8,
001783;Westland;Zuid-Holland;654565;11.7,
001842;Midden-Delfland;Zuid-Holland;673477;7.2,
