id;title;provincie;dna;VVD,
id;title;provincie;dna;2012-0,
001729;Gulpen-Wittem;Limburg;349464;22.5,
001730;Tynaarlo;Drenthe;366364;28.1,
001731;Midden-Drenthe;Drenthe;346353;25.6,
001734;Overbetuwe;Gelderland;453464;30.1,
001735;Hof van Twente;Overijssel;446464;32.7,
001740;Neder-Betuwe;Gelderland;331364;21.4,
001742;Rijssen-Holten;Overijssel;532465;19.5,
001771;Geldrop-Mierlo;Noord-Brabant;665546;25.7,
001773;Olst-Wijhe;Overijssel;345463;26,
001774;Dinkelland;Overijssel;334373;32.3,
001783;Westland;Zuid-Holland;654565;43.8,
001842;Midden-Delfland;Zuid-Holland;673477;40.4,
001859;Berkelland;Gelderland;436363;27.8,
001876;Bronckhorst;Gelderland;347373;30.4,
001883;Sittard-Geleen;Limburg;647616;19.5,
001884;Kaag en Braassem;Zuid-Holland;464474;40,
001891;Dantumadiel;Friesland;315324;12.1,
001892;Zuidplas;Zuid-Holland;673665;34.2,
001894;Peel en Maas;Limburg;445463;29.3,
001895;Oldambt;Groningen;527415;15.4,
001896;Zwartewaterland;Overijssel;431364;17.7,
001900;Súdwest-Fryslân;Friesland;535424;22.9,
001901;Bodegraven-Reeuwijk;Zuid-Holland;574575;36,
001903;Eijsden-Margraten;Limburg;367474;26.2,
001904;Stichtse Vecht;Utrecht;675665;35.4,
001908;Menameradiel;Friesland;335363;20.3,
001911;Hollands Kroon;Noord-Holland;344461;36.6,
001916;Leidschendam-Voorburg;Zuid-Holland;996939;34.2,
001926;Pijnacker-Nootdorp;Zuid-Holland;681775;38.6,
001955;Montferland;Gelderland;436445;26.3,
001987;Menterwolde;Groningen;335324;16.5,
001924;Goeree-Overflakkee;Zuid-Holland;455374;,
001927;Molenwaard;Zuid-Holland;361373;,
