id;title;provincie;dna;D66,
id;title;provincie;dna;2012-0,
000744;Baarle-Nassau;Noord-Brabant;348571;5.5,
000748;Bergen op Zoom;Noord-Brabant;756937;7.5,
000753;Best;Noord-Brabant;674555;7.6,
000755;Boekel;Noord-Brabant;343373;5.8,
000756;Boxmeer;Noord-Brabant;455465;5.6,
000757;Boxtel;Noord-Brabant;654655;8.5,
000758;Breda;Noord-Brabant;963838;10.7,
000762;Deurne;Noord-Brabant;545454;6,
000765;Pekela;Groningen;416414;2.3,
000766;Dongen;Noord-Brabant;655565;7.4,
000770;Eersel;Noord-Brabant;466474;7.9,
000772;Eindhoven;Noord-Brabant;954929;10.7,
000777;Etten-Leur;Noord-Brabant;754656;6.6,
000779;Geertruidenberg;Noord-Brabant;555455;5.5,
000784;Gilze en Rijen;Noord-Brabant;555654;7.1,
000785;Goirle;Noord-Brabant;676466;8.6,
000786;Grave;Noord-Brabant;455565;7,
000788;Haaren;Noord-Brabant;365374;7.5,
000794;Helmond;Noord-Brabant;743817;6,
000796;'s-Hertogenbosch;Noord-Brabant;964728;10.2,
000797;Heusden;Noord-Brabant;555555;7.4,
000798;Hilvarenbeek;Noord-Brabant;465374;7.7,
000809;Loon op Zand;Noord-Brabant;556465;6.3,
000815;Mill en Sint Hubert;Noord-Brabant;335363;4.1,
000820;Nuenen, Gerwen en Nederwetten;Noord-Brabant;587445;10.1
000823;Oirschot;Noord-Brabant;465373;7.2,
000824;Oisterwijk;Noord-Brabant;576466;8.8,
000826;Oosterhout;Noord-Brabant;766747;7.7,
000828;Oss;Noord-Brabant;655747;6.9,
000840;Rucphen;Noord-Brabant;448454;2.9,
000844;Schijndel;Noord-Brabant;555465;6.8,
000845;Sint-Michielsgestel;Noord-Brabant;465374;9,
000846;Sint-Oedenrode;Noord-Brabant;455374;7,
000847;Someren;Noord-Brabant;435454;5.6,
000848;Son en Breugel;Noord-Brabant;485465;9.5,
000851;Steenbergen;Noord-Brabant;456464;5,
000852;Waterland;Noord-Holland;486474;8.8,
000855;Tilburg;Noord-Brabant;943918;10,
000856;Uden;Noord-Brabant;655646;7.5,
000858;Valkenswaard;Noord-Brabant;657556;6.3,
000860;Veghel;Noord-Brabant;554765;6.9,
000861;Veldhoven;Noord-Brabant;766567;7.6,
000865;Vught;Noord-Brabant;685566;10.9,
000866;Waalre;Noord-Brabant;496565;11.2,
000867;Waalwijk;Noord-Brabant;655656;6,
000870;Werkendam;Noord-Brabant;454374;3.5,
000873;Woensdrecht;Noord-Brabant;457565;5.3,
000874;Woudrichem;Noord-Brabant;354374;3.7,
000879;Zundert;Noord-Brabant;346573;6,
000880;Wormerland;Noord-Holland;665555;6.8,
000881;Onderbanken;Limburg;337534;4.4,
000882;Landgraaf;Limburg;638516;4.4,
000888;Beek;Limburg;558545;6.9,
000889;Beesel;Limburg;436545;5.3,
000893;Bergen (L.);Limburg;336453;4.6,
000899;Brunssum;Limburg;728617;4.3,
000907;Gennep;Limburg;446555;6.1,
000917;Heerlen;Limburg;827717;5,
000928;Kerkrade;Limburg;729716;3.7,
000935;Maastricht;Limburg;936819;10,
000938;Meerssen;Limburg;468455;7,
000944;Mook en Middelaar;Limburg;387464;10.4,
000946;Nederweert;Limburg;446474;5.1,
000951;Nuth;Limburg;358444;5.6,
000957;Roermond;Limburg;746917;6.9,
000962;Schinnen;Limburg;358445;6.6,
000965;Simpelveld;Limburg;448455;4.8,
000971;Stein;Limburg;548455;5.3,
000981;Vaals;Limburg;529814;5.8,
000983;Venlo;Limburg;736827;6.1,
000984;Venray;Limburg;545645;6.9,
000986;Voerendaal;Limburg;368454;7.2,
000988;Weert;Limburg;647736;6.4,
000994;Valkenburg aan de Geul;Limburg;459436;7.8,
000995;Lelystad;Flevoland;652917;5.6,
001507;Horst aan de Maas;Limburg;445464;7,
001509;Oude IJsselstreek;Gelderland;436554;5.8,
001586;Oost Gelre;Gelderland;435464;7.4,
001598;Koggenland;Noord-Holland;353373;6.6,
001621;Lansingerland;Zuid-Holland;681676;7.6,
001525;Teylingen;Zuid-Holland;684576;9.6,
001581;Utrechtse Heuvelrug;Utrecht;497565;10.2,
001659;Laarbeek;Noord-Brabant;445365;6.1,
001663;De Marne;Groningen;227332;4.5,
001667;Reusel-De Mierden;Noord-Brabant;454471;5.4,
001669;Roerdalen;Limburg;348454;4.4,
001671;Maasdonk;Noord-Brabant;344374;5.4,
001672;Rijnwoude;Zuid-Holland;464475;7.1,
001674;Roosendaal;Noord-Brabant;756837;6.2,
001640;Leudal;Limburg;356463;6.4,
001641;Maasgouw;Limburg;358454;5.9,
001651;Eemsmond;Groningen;326312;3.6,
001652;Gemert-Bakel;Noord-Brabant;444454;5.7,
001655;Halderberge;Noord-Brabant;456654;5.8,
001658;Heeze-Leende;Noord-Brabant;487465;8.7,
001676;Schouwen-Duiveland;Zeeland;358464;4.8,
001680;Aa en Hunze;Drenthe;357353;7.2,
001681;Borger-Odoorn;Drenthe;337343;4.8,
001684;Cuijk;Noord-Brabant;445745;6.7,
001685;Landerd;Noord-Brabant;344373;6.2,
001690;De Wolden;Drenthe;346373;6.5,
001695;Noord-Beveland;Zeeland;258463;5.4,
001696;Wijdemeren;Noord-Holland;497574;8.7,
001699;Noordenveld;Drenthe;457343;7.4,
001700;Twenterand;Overijssel;423354;2.8,
001701;Westerveld;Drenthe;258351;6.5,
001702;Sint Anthonis;Noord-Brabant;345383;5.1,
001705;Lingewaard;Gelderland;554465;7.7,
001706;Cranendonck;Noord-Brabant;456564;5.9,
001708;Steenwijkerland;Overijssel;435443;5.2,
001709;Moerdijk;Noord-Brabant;465463;5.6,
001711;Echt-Susteren;Limburg;448544;5.1,
001714;Sluis;Zeeland;349564;4.6,
001719;Drimmelen;Noord-Brabant;466374;7.2,
001721;Bernheze;Noord-Brabant;454365;7,
001722;Ferwerderadiel;Friesland;224343;3.7,
001723;Alphen-Chaam;Noord-Brabant;366473;6.6,
001724;Bergeijk;Noord-Brabant;355463;5.8,
001728;Bladel;Noord-Brabant;455474;6,
001729;Gulpen-Wittem;Limburg;349464;5.8,
001730;Tynaarlo;Drenthe;366364;9.5,
001731;Midden-Drenthe;Drenthe;346353;5.4,
001734;Overbetuwe;Gelderland;453464;8.1,
001735;Hof van Twente;Overijssel;446464;6.7,
001740;Neder-Betuwe;Gelderland;331364;3,
001742;Rijssen-Holten;Overijssel;532465;2.9,
001771;Geldrop-Mierlo;Noord-Brabant;665546;7.9,
001773;Olst-Wijhe;Overijssel;345463;6.9,
001774;Dinkelland;Overijssel;334373;5.5,
001783;Westland;Zuid-Holland;654565;5.3,
001842;Midden-Delfland;Zuid-Holland;673477;8.5,
001859;Berkelland;Gelderland;436363;6.7,
001876;Bronckhorst;Gelderland;347373;7,
