id;title;provincie;dna;CDA,
id;title;provincie;dna;2012-0,
001734;Overbetuwe;Gelderland;453464;9.9,
001735;Hof van Twente;Overijssel;446464;16.6,
001740;Neder-Betuwe;Gelderland;331364;6.3,
001742;Rijssen-Holten;Overijssel;532465;13.2,
001771;Geldrop-Mierlo;Noord-Brabant;665546;9,
001773;Olst-Wijhe;Overijssel;345463;13.9,
001774;Dinkelland;Overijssel;334373;26.1,
001783;Westland;Zuid-Holland;654565;13.1,
001842;Midden-Delfland;Zuid-Holland;673477;14.9,
001859;Berkelland;Gelderland;436363;13.5,
001876;Bronckhorst;Gelderland;347373;14.3,
001883;Sittard-Geleen;Limburg;647616;9.4,
001884;Kaag en Braassem;Zuid-Holland;464474;11.4,
001891;Dantumadiel;Friesland;315324;19.3,
001892;Zuidplas;Zuid-Holland;673665;7.7,
001894;Peel en Maas;Limburg;445463;14.4,
001895;Oldambt;Groningen;527415;5.9,
001896;Zwartewaterland;Overijssel;431364;12.3,
001900;Súdwest-Fryslân;Friesland;535424;18.1,
001901;Bodegraven-Reeuwijk;Zuid-Holland;574575;12,
001903;Eijsden-Margraten;Limburg;367474;13.1,
001904;Stichtse Vecht;Utrecht;675665;7.7,
001908;Menameradiel;Friesland;335363;15.1,
001911;Hollands Kroon;Noord-Holland;344461;8.6,
001916;Leidschendam-Voorburg;Zuid-Holland;996939;7.9,
001926;Pijnacker-Nootdorp;Zuid-Holland;681775;8.7,
001955;Montferland;Gelderland;436445;12.9,
001987;Menterwolde;Groningen;335324;4.6,
001924;Goeree-Overflakkee;Zuid-Holland;455374;,
001927;Molenwaard;Zuid-Holland;361373;,
