id;title;provincie;dna;PvdD,
id;title;provincie;dna;2012-0,
000757;Boxtel;Noord-Brabant;654655;1.5,
000758;Breda;Noord-Brabant;963838;1.8,
000762;Deurne;Noord-Brabant;545454;1,
000765;Pekela;Groningen;416414;1.7,
000766;Dongen;Noord-Brabant;655565;1.5,
000770;Eersel;Noord-Brabant;466474;1.3,
000772;Eindhoven;Noord-Brabant;954929;1.9,
000777;Etten-Leur;Noord-Brabant;754656;1.5,
000779;Geertruidenberg;Noord-Brabant;555455;1.5,
000784;Gilze en Rijen;Noord-Brabant;555654;1.5,
000785;Goirle;Noord-Brabant;676466;1.5,
000786;Grave;Noord-Brabant;455565;1.6,
000788;Haaren;Noord-Brabant;365374;1.7,
000794;Helmond;Noord-Brabant;743817;1.5,
000796;'s-Hertogenbosch;Noord-Brabant;964728;1.8,
000797;Heusden;Noord-Brabant;555555;1.6,
000798;Hilvarenbeek;Noord-Brabant;465374;1.6,
000809;Loon op Zand;Noord-Brabant;556465;1.6,
000815;Mill en Sint Hubert;Noord-Brabant;335363;0.8,
000820;Nuenen, Gerwen en Nederwetten;Noord-Brabant;587445;1.4
000823;Oirschot;Noord-Brabant;465373;1,
000824;Oisterwijk;Noord-Brabant;576466;1.5,
000826;Oosterhout;Noord-Brabant;766747;1.5,
000828;Oss;Noord-Brabant;655747;1.4,
000840;Rucphen;Noord-Brabant;448454;1.5,
000844;Schijndel;Noord-Brabant;555465;1.1,
000845;Sint-Michielsgestel;Noord-Brabant;465374;1.4,
000846;Sint-Oedenrode;Noord-Brabant;455374;0.9,
000847;Someren;Noord-Brabant;435454;1.1,
000848;Son en Breugel;Noord-Brabant;485465;1.4,
000851;Steenbergen;Noord-Brabant;456464;1.9,
000852;Waterland;Noord-Holland;486474;2.2,
000855;Tilburg;Noord-Brabant;943918;1.9,
000856;Uden;Noord-Brabant;655646;1.4,
000858;Valkenswaard;Noord-Brabant;657556;1.4,
000860;Veghel;Noord-Brabant;554765;1.2,
000861;Veldhoven;Noord-Brabant;766567;1.6,
000865;Vught;Noord-Brabant;685566;1.6,
000866;Waalre;Noord-Brabant;496565;1.7,
000867;Waalwijk;Noord-Brabant;655656;1.5,
000870;Werkendam;Noord-Brabant;454374;1,
000873;Woensdrecht;Noord-Brabant;457565;2,
000874;Woudrichem;Noord-Brabant;354374;1.2,
000879;Zundert;Noord-Brabant;346573;1.3,
000880;Wormerland;Noord-Holland;665555;2.5,
